ID товара,Наименование товара,Ссылка на товар,Регулярная цена,Старая цена
1011129,"Royal Canin Sterilised Влажный корм (пауч) для стерилизованных кошек, в соусе, 85 гр.",/product/royal-canin-sterilised-vlazhnyj-korm-dlya-sterilizovannyh-koshek-v-souse-85-g-626-1011129/,74 ₽,87 ₽
1008824,"Royal Canin Sterilised Влажный корм (пауч) для стерилизованных кошек, в желе, 85 гр.",/product/royal-canin-sterilised-vlazhnyj-korm-dlya-sterilizovannyh-koshek-v-zhele-85-g-625-1008824/,74 ₽,87 ₽
1009314,"ProPlan Sterilised Maintenance Влажный корм (пауч) для взрослых стерилизованных кошек, с курицей в соусе, 85 гр.",/product/proplan-nutri-savour-vlazhnyj-korm-dlya-vzroslyh-sterilizovannyh-koshek-i-kastrirovannyh-kotov-s-kuritsej-v-souse-85-gr-88917-1009314/,83 ₽,Нет старой цены
1040784,"Ownat Adult Sterilized Grain Free Prime Сухой корм для стерилизованных кошек, с курицей и индейкой, 1 кг",/product/ownat-adult-sterilized-grain-free-suhoj-korm-dlya-sterilizovannyh-koshek-s-kuritsej-i-indejkoj-1-kg-1180-1040784/,1 779 ₽,Нет старой цены
1009313,"ProPlan Sterilised Maintenance Влажный корм (пауч) для взрослых стерилизованных кошек, с говядиной в соусе, 85 гр.",/product/proplan-nutri-savour-vlazhnyj-korm-dlya-vzroslyh-sterilizovannyh-koshek-i-kastrirovannyh-kotov-s-govyadinoj-v-souse-85-g-598-1009313/,83 ₽,Нет старой цены
1003547,"Royal Canin Gastrointestinal GI32 S/O Сухой корм при лечении ЖКТ для кошек, 2 кг",/product/royal-canin-gastro-intestinal-gi32-korm-dlya-koshek-pri-lechenii-zhkt-2-kg-3094-1003547/,3 735 ₽,Нет старой цены
1020145,"ProPlan Sterilised Maintenance Влажный корм (пауч) для взрослых стерилизованных кошек и кастрированных котов, с уткой в соусе, 85 гр.",/product/proplan-sterilised-vlazhnyj-korm-dlya-vzroslyh-koshek-dlya-sterilizovannyh-s-utkoj-v-souse-85-g-88925-1020145/,83 ₽,Нет старой цены
1009310,"ProPlan Delicate Digestion Влажный корм (пауч) для взрослых кошек с чувствительным пищеварением, с индейкой в соусе, 85 гр.",/product/proplan-nutri-savour-vlazhnyj-korm-dlya-vzroslyh-koshek-s-chuvstvitelnym-pishchevareniem-ili-osobymi-predpochteniyami-v-ede-s-indejkoj-v-souse-85-g-596-1009310/,83 ₽,Нет старой цены
1005279,"Royal Canin Digestive Care Влажный корм (пауч) для кошек с чувствительным пищеварением, тонкие ломтики в соусе, 85 гр.",/product/royal-canin-digest-sensitive-kusochki-v-souse-dlya-koshek-s-chuvstvitelnym-pishchevareniem-85-g-619-1005279/,99 ₽,Нет старой цены
1000888,"Royal Canin Kitten Влажный корм (пауч) для котят от 4 до 12 месяцев, кусочки в соусе, 85 гр.",/product/royal-canin-kitten-vlazhnyj-korm-dlya-kotyat-ot-4-do-12-mesyatsev-kusochki-v-souse-85-g-614-1000888/,87 ₽,Нет старой цены
1043228,"Farmina Vet Life Gastrointestinal диетический влажный корм для кошек при заболеваниях ЖКТ, 85г",/product/farmina-vet-life-gastrointestinal-dieticheskij-vlazhnyj-korm-dlya-koshek-pri-zabolevaniyah-zhkt-85g-3064-1043228/,249 ₽,Нет старой цены
1061697,"Royal Canin Gastrointestinal Влажный корм (пауч) для поддержания пищеварительной системы у кошек, 85 гр.",/product/royal-canin-korm-vlazhnyj-85g-dlya-koshek-gastrointestinal-87618-1061697/,159 ₽,Нет старой цены
1020143,"ProPlan Sterilised Maintenance Влажный корм (пауч) для взрослых стерилизованных кошек и кастрированных котов, с океанической рыбой в соусе, 85 гр.",/product/proplan-sterilised-vlazhnyj-korm-dlya-vzroslyh-koshek-dlya-sterilizovannyh-s-okeanicheskoj-ryboj-v-souse-85-g-88927-1020143/,83 ₽,Нет старой цены
1016932,"ProPlan Sterilised Maintenance Влажный корм (пауч) для взрослых стерилизованных кошек и кастрированных котов, с индейкой в желе, 85 гр.",/product/proplan-sterilised-vlazhnyj-korm-dlya-vzroslyh-koshek-dlya-sterilizovannyh-s-indejkoj-v-zhele-85-g-88926-1016932/,89 ₽,Нет старой цены
1056212,"ProPlan Sterilised Maintenance Влажный корм (мультипак) для взрослых стерилизованных кошек, с говядиной в соусе, индейкой в желе, океанической рыбой в соусе, 10х85 гр.",/product/proplan-korm-vlazhnyj-dlya-sterilizovannyh-koshek-s-govyadinoj-indejkoj-i-okeanicheskoj-ryboj-10h85-gr-608-1056212/,809 ₽,Нет старой цены
1056702,"AlphaPet Влажный корм для кошек с чувствительным пищеварением, с ягненком и брусникой в соусе, 80 гр.",/product/alphapet-vlazhnyj-korm-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-yagnenkom-i-brusnikoj-v-souse-80-gr-527-1056702/,93 ₽,Нет старой цены
1056701,"AlphaPet Влажный корм для кошек с чувствительным пищеварением, с кроликом и черникой в соусе, 80 гр.",/product/alphapet-vlazhnyj-korm-dlya-koshek-s-chuvstvitelnym-pishchevareniem-s-krolikom-i-chernikoj-v-souse-80-gr-526-1056701/,93 ₽,Нет старой цены
1043229,"Farmina Vet Life Renal диетический влажный корм для кошек при почечной недостаточности, с курицей, 85г",/product/farmina-vet-life-renal-dieticheskij-vlazhnyj-korm-dlya-koshek-pri-pochechnoj-nedostatochnosti-s-kuritsej-85g-3065-1043229/,249 ₽,Нет старой цены
1020142,"ProPlan Delicate Digestion Влажный корм (пауч) для взрослых кошек с чувствительным пищеварением, с ягненком в соусе, 85 гр.",/product/proplan-delicate-vlazhnyj-korm-dlya-vzroslyh-koshek-pri-chuvstvitelnom-pishchevarenii-s-yagnenkom-v-souse-85-g-88930-1020142/,89 ₽,Нет старой цены
1051861,"Grandin Влажный корм (консервы) для котят, мусс тунца с яйцом, 80 гр.",/product/grandin-vlazhnyj-korm-konservy-dlya-kotyat-muss-tuntsa-s-yajtsom-80-gr-88933-1051861/,199 ₽,Нет старой цены
1060698,"AlphaPet Wow Влажный корм (блистер) для стерилизованных кошек, индейка в соусе, 2x40 гр.",/product/alphapet-korm-vlazhnyj-dlya-sterilizovannyh-koshek-indejka-v-souse-80-g-85530-1060698/,65 ₽,Нет старой цены
